company,dividend_date,dividend_per_share,share_price_on_dividend_date
SIEMENS,2018-01-25,7.0,1261.72
SIEMENS,2019-01-28,7.0,971.76
SIEMENS,2020-02-03,7.0,1415.31
SIEMENS,2021-01-27,7.0,1604.15
SIEMENS,2022-01-20,8.0,2378.42
SIEMENS,2023-01-31,10.0,2913.64
SIEMENS,2024-01-30,10.0,4135.01
SIEMENS,2025-01-30,12.0,5874.75
SJVN,2015-09-14,0.42,14.16
SJVN,2016-02-16,0.63,16.0
SJVN,2016-09-14,0.47,16.78
SJVN,2017-02-22,2.25,21.46
SJVN,2017-09-14,0.5,21.81
SJVN,2018-02-21,1.9,23.69
SJVN,2018-09-17,0.2,19.22
SJVN,2019-02-18,1.5,17.97
SJVN,2019-09-19,0.65,18.66
SJVN,2020-02-25,1.7,19.1
SJVN,2020-09-21,0.5,18.54
SJVN,2021-02-23,1.8,22.07
SJVN,2021-09-21,0.4,23.77
SJVN,2022-02-21,1.15,26.59
SJVN,2022-09-21,0.55,29.84
SJVN,2023-02-17,1.15,30.83
SJVN,2023-09-21,0.62,69.18
SJVN,2024-02-21,1.15,118.73
SJVN,2024-09-12,0.65,129.92
SJVN,2025-02-21,1.15,92.99
SKFINDIA,2016-07-08,15.0,1271.52
SKFINDIA,2017-07-18,10.0,1474.5
SKFINDIA,2018-07-13,12.0,1684.92
SKFINDIA,2019-07-11,12.0,1859.04
SKFINDIA,2021-07-06,14.5,2541.02
SKFINDIA,2022-06-28,14.5,3437.4
SKFINDIA,2023-06-28,40.0,4880.27
SKFINDIA,2024-07-04,130.0,6376.47
SKFINDIA,2025-07-04,14.5,4955.8
SOBHA,2016-07-21,1.95,298.78
SOBHA,2017-07-20,2.43,375.39
SOBHA,2018-07-25,6.81,431.84
SOBHA,2019-07-24,6.81,546.08
SOBHA,2020-07-23,6.81,227.8
SOBHA,2021-07-29,3.41,582.48
SOBHA,2022-07-28,2.92,684.75
SOBHA,2023-07-28,2.92,625.11
SOBHA,2024-07-26,3.0,1796.0
SOBHA,2025-07-11,3.0,1499.9
SOLARINDS,2015-08-27,1.8,681.61
SOLARINDS,2015-11-09,1.8,641.05
SOLARINDS,2016-03-16,2.7,627.08
SOLARINDS,2017-02-20,2.0,714.46
SOLARINDS,2017-08-09,3.0,852.21
SOLARINDS,2018-07-18,6.0,1080.35
SOLARINDS,2019-07-18,7.0,1152.15
SOLARINDS,2020-09-03,6.0,1070.29
SOLARINDS,2021-08-18,6.0,1686.04
SOLARINDS,2022-05-27,7.5,2562.68
SOLARINDS,2023-06-09,8.0,3878.8
SOLARINDS,2024-07-04,8.5,12162.97
SOLARINDS,2025-07-08,10.0,16511.0
SONACOMS,2022-02-11,0.77,620.15
SONACOMS,2022-06-29,0.77,549.78
SONACOMS,2023-02-06,1.28,464.71
SONACOMS,2023-06-30,1.53,510.05
SONACOMS,2024-02-05,1.53,633.84
SONACOMS,2024-06-14,1.53,644.08
SONACOMS,2025-02-05,1.6,513.28
SONACOMS,2025-07-04,1.6,478.4
SONATSOFTW,2015-11-10,1.31,43.36
SONATSOFTW,2016-03-16,2.06,44.85
SONATSOFTW,2016-11-09,1.31,45.05
SONATSOFTW,2017-08-03,2.06,48.01
SONATSOFTW,2017-11-20,1.41,65.28
SONATSOFTW,2018-08-02,2.53,103.94
SONATSOFTW,2018-11-13,1.78,104.59
SONATSOFTW,2019-07-30,3.0,102.38
SONATSOFTW,2019-11-07,2.16,100.25
SONATSOFTW,2020-03-06,5.44,111.26
SONATSOFTW,2020-11-18,1.5,116.47
SONATSOFTW,2021-08-06,3.75,293.66
SONATSOFTW,2021-10-29,3.0,294.41
SONATSOFTW,2022-06-15,4.88,247.22
SONATSOFTW,2022-10-31,3.5,253.88
SONATSOFTW,2023-07-21,4.38,512.06
SONATSOFTW,2023-11-07,3.5,620.2
SONATSOFTW,2024-07-26,4.4,730.55
SONATSOFTW,2025-07-23,4.4,428.2
SRF,2015-08-28,1.0,228.63
SRF,2016-02-15,1.0,219.0
SRF,2016-08-16,1.2,304.37
SRF,2017-02-17,1.2,307.04
SRF,2017-08-16,1.2,287.67
SRF,2018-02-15,1.2,369.35
SRF,2018-08-14,1.2,377.13
SRF,2019-02-11,1.2,431.96
SRF,2019-08-13,1.4,554.97
SRF,2020-02-10,1.4,811.76
SRF,2020-08-06,1.0,753.21
SRF,2021-01-29,3.8,1059.51
SRF,2021-08-05,2.4,1775.53
SRF,2022-02-03,4.75,2414.79
SRF,2022-07-28,3.6,2399.58
SRF,2023-02-07,3.6,2188.62
SRF,2023-08-01,3.6,2238.7
SRF,2024-02-07,3.6,2286.01
SRF,2024-07-31,3.6,2638.21
SRF,2025-02-04,3.6,2966.36
SRF,2025-07-29,4.0,3110.0
SUMICHEM,2020-09-02,0.55,271.51
SUMICHEM,2021-07-22,0.8,424.36
SUMICHEM,2022-07-21,1.0,458.14
SUMICHEM,2023-07-21,1.2,407.09
SUMICHEM,2024-02-14,5.0,374.12
SUMICHEM,2024-07-19,0.9,498.09
SUMICHEM,2025-07-25,1.2,584.9
SUNDARMFIN,2016-02-09,4.5,984.83
SUNDARMFIN,2016-03-17,5.5,977.19
SUNDARMFIN,2016-07-05,1.0,1127.54
SUNDARMFIN,2017-03-01,5.0,1137.97
SUNDARMFIN,2017-07-04,6.5,1232.54
SUNDARMFIN,2018-05-10,5.0,1639.92
SUNDARMFIN,2018-07-04,7.0,1485.95
SUNDARMFIN,2019-02-11,5.0,1300.28
SUNDARMFIN,2019-07-03,7.5,1590.58
SUNDARMFIN,2020-02-18,10.0,1551.99
SUNDARMFIN,2020-07-02,3.0,1354.68
SUNDARMFIN,2021-02-02,12.0,1810.63
SUNDARMFIN,2021-08-24,6.0,2442.7
SUNDARMFIN,2022-02-17,10.0,2058.23
SUNDARMFIN,2022-07-08,10.0,1834.16
SUNDARMFIN,2023-02-17,12.0,2306.18
SUNDARMFIN,2023-07-05,15.0,2612.26
SUNDARMFIN,2024-02-16,14.0,3830.71
SUNDARMFIN,2024-07-31,16.0,4294.68
SUNDARMFIN,2025-02-07,14.0,4638.95
SUNDARMFIN,2025-07-09,21.0,5031.0
SUNDRMFAST,2015-11-13,0.85,138.1
SUNDRMFAST,2016-03-17,1.3,133.61
SUNDRMFAST,2016-11-10,1.7,302.31
SUNDRMFAST,2017-08-10,2.8,351.04
SUNDRMFAST,2017-11-13,1.9,451.56
SUNDRMFAST,2018-05-17,2.7,565.2
SUNDRMFAST,2018-11-09,2.0,517.53
SUNDRMFAST,2019-05-20,3.1,508.44
SUNDRMFAST,2019-11-14,1.35,440.84
SUNDRMFAST,2020-03-04,2.8,389.44
SUNDRMFAST,2020-11-12,1.3,463.97
SUNDRMFAST,2021-05-18,3.4,733.39
SUNDRMFAST,2022-02-21,6.45,823.85
SUNDRMFAST,2022-11-17,3.57,891.81
SUNDRMFAST,2023-05-16,3.06,1052.48
SUNDRMFAST,2023-11-16,2.68,1222.06
SUNDRMFAST,2024-06-03,4.17,1216.43
SUNDRMFAST,2024-11-18,3.0,1158.88
SUNDRMFAST,2025-05-07,4.2,960.2
SUNPHARMA,2015-10-21,3.0,822.13
SUNPHARMA,2016-09-08,1.0,748.23
SUNPHARMA,2017-09-18,3.5,485.72
SUNPHARMA,2018-09-17,2.0,604.2
SUNPHARMA,2019-08-20,2.75,396.1
SUNPHARMA,2020-02-17,3.0,387.11
SUNPHARMA,2020-08-19,1.0,498.96
SUNPHARMA,2021-02-09,5.5,597.4
SUNPHARMA,2021-08-23,2.0,729.36
SUNPHARMA,2022-02-09,7.0,858.16
SUNPHARMA,2022-08-19,3.0,875.45
SUNPHARMA,2023-02-08,7.5,991.28
SUNPHARMA,2023-07-28,4.0,1118.08
SUNPHARMA,2024-02-09,8.5,1515.79
SUNPHARMA,2024-07-12,5.0,1562.71
SUNPHARMA,2025-02-06,10.5,1736.28
SUNPHARMA,2025-07-07,5.5,1679.9
SUNTV,2016-02-17,2.0,259.2
SUNTV,2016-03-21,7.5,289.42
SUNTV,2017-02-17,5.0,562.16
SUNTV,2017-03-22,5.0,597.85
SUNTV,2017-08-21,2.5,580.93
SUNTV,2017-11-17,2.5,682.54
SUNTV,2018-02-16,2.5,751.33
SUNTV,2018-03-22,2.5,690.89
SUNTV,2018-08-20,5.0,649.73
SUNTV,2018-11-14,2.5,505.15
SUNTV,2019-02-15,2.5,452.16
SUNTV,2019-03-20,2.5,511.71
SUNTV,2019-08-20,2.5,362.66
SUNTV,2019-11-21,2.5,402.45
SUNTV,2020-02-24,7.5,398.69
SUNTV,2020-03-26,12.5,269.4
SUNTV,2021-02-17,5.0,471.11
SUNTV,2021-08-23,3.75,428.97
SUNTV,2021-11-12,2.5,510.58
SUNTV,2022-02-17,2.5,450.5
SUNTV,2022-03-17,5.0,433.0
SUNTV,2022-08-23,5.0,452.75
SUNTV,2022-11-18,3.75,450.01
SUNTV,2023-02-13,3.75,424.44
SUNTV,2023-03-21,2.5,409.08
SUNTV,2023-08-22,6.25,522.07
SUNTV,2023-11-21,5.0,642.91
SUNTV,2024-02-23,2.5,618.07
SUNTV,2024-04-08,3.0,596.05
SUNTV,2024-08-20,5.0,779.84
SUNTV,2024-11-26,5.0,744.95
SUNTV,2025-02-13,2.5,595.3
SUNTV,2025-03-13,2.5,570.4
SUPREMEIND,2015-09-08,7.0,529.56
SUPREMEIND,2016-02-02,2.5,680.18
SUPREMEIND,2016-03-22,5.0,719.64
SUPREMEIND,2016-11-07,3.0,827.19
SUPREMEIND,2017-06-21,7.0,1125.73
SUPREMEIND,2017-11-06,3.0,1036.93
SUPREMEIND,2018-06-19,9.0,1158.69
SUPREMEIND,2018-11-05,4.0,926.47
SUPREMEIND,2019-07-02,9.0,1070.74
SUPREMEIND,2019-11-04,4.0,1105.01
SUPREMEIND,2020-03-06,10.0,1179.0
SUPREMEIND,2020-11-05,5.0,1379.38
SUPREMEIND,2021-06-21,17.0,2099.79
SUPREMEIND,2021-10-29,6.0,2254.38
SUPREMEIND,2022-06-21,18.0,1701.33
SUPREMEIND,2022-11-07,6.0,2312.51
SUPREMEIND,2023-06-21,20.0,3010.61
SUPREMEIND,2023-11-07,8.0,4294.75
SUPREMEIND,2024-06-21,22.0,5819.41
SUPREMEIND,2024-10-30,10.0,4365.28
SUPREMEIND,2025-06-20,24.0,4465.8
SWANENERGY,2015-09-03,0.15,60.18
SWANENERGY,2016-09-12,0.05,62.51
SWANENERGY,2017-09-13,0.08,141.68
SWANENERGY,2018-09-03,0.1,158.81
SWANENERGY,2019-09-03,0.1,112.26
SWANENERGY,2020-09-18,0.1,115.41
SWANENERGY,2021-09-07,0.1,131.88
SWANENERGY,2022-09-20,0.1,226.08
SWANENERGY,2023-09-21,0.1,296.6
SWANENERGY,2024-09-19,0.1,573.6
SWSOLAR,2020-02-24,6.0,184.8
SYNGENE,2016-03-17,0.5,193.68
SYNGENE,2017-07-20,0.5,240.45
SYNGENE,2018-07-17,0.5,296.94
SYNGENE,2019-07-16,0.5,320.57
SYNGENE,2022-06-30,0.5,552.34
SYNGENE,2023-06-30,0.5,762.23
SYNGENE,2024-06-28,1.25,708.63
SYNGENE,2025-06-27,1.25,642.65
SYRMA,2023-09-01,1.5,533.6
SYRMA,2024-09-10,1.5,419.9
TANLA,2016-03-22,0.2,33.68
TANLA,2017-09-07,0.25,33.24
TANLA,2018-09-26,0.3,32.48
TANLA,2019-09-20,0.35,52.17
TANLA,2020-09-17,1.0,247.81
TANLA,2021-09-15,1.0,808.5
TANLA,2022-08-18,8.0,710.5
TANLA,2023-08-30,4.0,936.67
TANLA,2024-02-05,6.0,962.07
TANLA,2024-07-18,6.0,971.18
TANLA,2025-01-27,6.0,564.33
TANLA,2025-04-30,6.0,474.35
TARIL,2025-05-09,0.2,478.45
TATACHEM,2016-08-02,10.0,160.74
TATACHEM,2017-07-31,11.0,226.72
TATACHEM,2018-07-16,11.0,253.81
TATACHEM,2019-06-28,12.5,248.56
TATACHEM,2020-06-22,11.0,289.72
TATACHEM,2021-06-14,10.0,697.66
TATACHEM,2022-06-15,12.5,836.22
TATACHEM,2023-06-14,17.5,953.7
TATACHEM,2024-06-12,15.0,1110.73
TATACHEM,2025-06-12,11.0,932.75
TATACOMM,2015-09-23,5.5,218.7
TATACOMM,2016-07-21,4.3,252.53
TATACOMM,2017-06-16,4.5,412.23
TATACOMM,2018-08-01,4.5,334.93
TATACOMM,2019-07-25,4.5,277.24
TATACOMM,2020-08-20,4.0,842.7
TATACOMM,2021-06-17,14.0,1198.55
TATACOMM,2022-06-10,20.7,913.67
TATACOMM,2023-06-26,21.0,1532.15
TATACOMM,2024-07-01,16.7,1828.55
TATACOMM,2025-06-19,25.0,1648.7
TATACONSUM,2016-08-08,2.22,129.91
TATACONSUM,2017-07-07,2.32,145.62
TATACONSUM,2017-08-04,2.32,155.82
TATACONSUM,2018-06-20,2.47,246.47
TATACONSUM,2019-05-24,2.47,224.35
TATACONSUM,2020-06-18,2.67,358.02
TATACONSUM,2021-06-10,4.0,684.74
TATACONSUM,2022-06-09,5.98,735.73
TATACONSUM,2023-05-19,8.35,754.62
TATACONSUM,2024-05-24,7.65,1090.17
TATACONSUM,2025-05-29,8.25,1109.8
TATAELXSI,2016-07-15,7.0,743.9
TATAELXSI,2017-07-18,8.0,774.06
TATAELXSI,2018-07-16,11.0,1319.97
TATAELXSI,2019-07-08,13.5,808.5
TATAELXSI,2020-07-13,16.5,867.21
TATAELXSI,2021-06-17,24.0,3610.1
TATAELXSI,2022-06-15,42.5,7928.33
TATAELXSI,2023-06-22,60.6,7508.29
TATAELXSI,2024-06-25,70.0,7026.56
TATAELXSI,2025-06-11,75.0,6624.5
TATAINVEST,2016-03-17,17.0,415.56
TATAINVEST,2017-08-04,18.0,731.31
TATAINVEST,2018-07-13,18.0,722.37
TATAINVEST,2019-07-15,20.0,766.52
TATAINVEST,2020-07-01,18.0,699.57
TATAINVEST,2021-06-16,24.0,1081.69
TATAINVEST,2022-06-02,55.0,1449.72
TATAINVEST,2023-06-12,48.0,2339.26
TATAINVEST,2024-06-18,28.0,6866.1
TATAINVEST,2025-06-10,27.0,7336.5
TATAMOTORS,2016-07-18,0.2,485.43
TATAMOTORS,2023-07-28,2.0,627.95
TATAMOTORS,2024-06-11,3.0,978.69
TATAMOTORS,2025-06-04,6.0,709.15
TATAPOWER,2016-09-07,1.3,67.62
TATAPOWER,2017-08-10,1.3,68.77
TATAPOWER,2018-07-12,1.3,63.45
TATAPOWER,2019-06-04,1.3,62.08
TATAPOWER,2020-07-14,1.55,46.26
TATAPOWER,2021-06-17,1.55,120.56
TATAPOWER,2022-06-15,1.75,214.67
TATAPOWER,2023-06-07,2.0,216.17
TATAPOWER,2024-07-04,2.0,433.7
TATAPOWER,2025-06-20,2.25,390.1
TATASTEEL,2016-07-28,0.76,26.31
TATASTEEL,2017-07-20,0.95,42.65
TATASTEEL,2018-07-05,1.0,45.25
TATASTEEL,2019-07-04,1.3,41.56
TATASTEEL,2020-08-06,1.0,34.47
TATASTEEL,2021-06-17,2.5,97.15
TATASTEEL,2022-06-15,5.1,89.01
TATASTEEL,2023-06-22,3.6,106.42
TATASTEEL,2024-06-21,3.6,175.84
TATASTEEL,2025-06-06,3.6,157.49
TATATECH,2024-06-13,10.05,1032.76
TATATECH,2025-06-16,11.7,749.95
TCS,2015-10-23,2.75,1086.76
TCS,2016-01-21,2.75,968.03
TCS,2016-06-06,13.5,1133.38
TCS,2016-07-25,3.25,1113.03
TCS,2016-10-24,3.25,1058.77
TCS,2017-01-23,3.25,1008.87
TCS,2017-06-13,13.75,1084.21
TCS,2017-07-24,3.5,1122.37
TCS,2017-10-25,3.5,1138.41
TCS,2018-01-22,3.5,1389.18
TCS,2018-05-31,14.5,1565.11
TCS,2018-07-17,4.0,1803.45
TCS,2018-10-23,4.0,1664.18
TCS,2019-01-17,4.0,1713.56
TCS,2019-06-04,18.0,1990.79
TCS,2019-07-16,5.0,1924.97
TCS,2019-10-17,5.0,1860.92
TCS,2020-01-23,5.0,2012.08
TCS,2020-03-19,12.0,1513.74
TCS,2020-06-03,6.0,1898.39
TCS,2020-07-16,5.0,2078.03
TCS,2020-10-14,12.0,2623.7
TCS,2021-01-14,6.0,3041.39
TCS,2021-05-25,15.0,2927.74
TCS,2021-07-15,7.0,3017.95
TCS,2021-10-14,7.0,3409.38
TCS,2022-01-19,7.0,3702.11
TCS,2022-05-25,22.0,3015.85
TCS,2022-07-14,8.0,2862.58
TCS,2022-10-17,8.0,2978.13
TCS,2023-01-16,8.0,3198.47
TCS,2023-06-15,24.0,3108.46
TCS,2023-07-20,9.0,3355.88
TCS,2023-10-19,9.0,3357.13
TCS,2024-01-19,9.0,3839.49
TCS,2024-05-16,28.0,3826.1
TCS,2024-07-19,10.0,4229.65
TCS,2024-10-18,10.0,4063.22
TCS,2025-01-17,10.0,4074.14
TCS,2025-06-04,30.0,3369.47
TCS,2025-07-16,11.0,3233.1
TECHM,2016-07-28,6.0,390.71
TECHM,2017-07-27,9.0,310.75
TECHM,2018-07-26,14.0,532.44
TECHM,2019-07-25,14.0,561.57
TECHM,2020-03-02,10.0,649.52
TECHM,2020-07-23,5.0,556.23
TECHM,2020-10-29,15.0,720.77
TECHM,2021-07-23,15.0,1027.01
TECHM,2022-07-21,15.0,951.44
TECHM,2023-07-21,32.0,1129.87
TECHM,2023-11-02,12.0,1065.98
TECHM,2024-07-19,28.0,1451.6
TECHM,2024-10-31,15.0,1579.78
TECHM,2025-07-04,30.0,1655.2
TECHNOE,2016-02-17,1.5,218.8
TECHNOE,2016-07-28,1.0,317.58
TECHNOE,2020-11-24,3.0,206.98
TECHNOE,2021-02-24,3.0,262.02
TECHNOE,2021-09-20,4.0,266.96
TECHNOE,2022-09-15,2.0,282.22
TECHNOE,2023-09-15,6.0,510.86
TECHNOE,2024-09-13,7.0,1600.9
TEJASNET,2019-07-17,1.0,136.51
TEJASNET,2025-06-19,2.5,682.65
THERMAX,2016-07-28,6.0,841.75
THERMAX,2017-07-27,6.0,866.06
THERMAX,2018-07-26,6.0,1072.75
THERMAX,2019-07-25,7.0,1074.17
THERMAX,2020-03-20,7.0,697.72
THERMAX,2021-07-22,7.0,1404.55
THERMAX,2022-07-21,9.0,2164.09
THERMAX,2023-07-21,10.0,2454.24
THERMAX,2024-07-05,12.0,5608.42
THERMAX,2025-07-04,14.0,3458.5
TIINDIA,2018-02-22,1.25,260.06
TIINDIA,2018-07-30,0.5,242.6
TIINDIA,2019-02-14,1.75,335.17
TIINDIA,2019-07-08,0.75,378.65
TIINDIA,2020-03-11,3.5,497.69
TIINDIA,2021-02-22,2.0,1039.6
TIINDIA,2021-08-04,1.5,1166.78
TIINDIA,2022-02-17,2.0,1639.66
TIINDIA,2022-07-20,1.5,2187.43
TIINDIA,2023-02-15,2.0,2425.28
TIINDIA,2023-07-26,1.5,3108.9
TIINDIA,2024-02-13,2.0,3488.59
TIINDIA,2024-07-23,1.5,4008.84
TIINDIA,2025-02-07,2.0,2908.36
TIINDIA,2025-07-25,1.5,2889.0
TIMKEN,2016-08-02,1.0,537.24
TIMKEN,2017-08-01,1.0,672.71
TIMKEN,2018-08-02,1.0,705.82
TIMKEN,2019-08-02,1.0,611.38
TIMKEN,2020-07-23,50.0,973.88
TIMKEN,2021-07-29,1.5,1559.04
TIMKEN,2022-08-11,1.5,3092.85
TIMKEN,2023-08-04,1.5,3354.93
TIMKEN,2024-07-26,2.5,3965.21
TIMKEN,2025-07-25,36.0,3389.1
TITAGARH,2015-09-16,0.8,94.76
TITAGARH,2016-03-28,0.8,94.02
TITAGARH,2017-07-20,0.8,120.3
TITAGARH,2018-09-19,0.3,83.84
TITAGARH,2019-09-11,0.3,43.1
TITAGARH,2023-09-22,0.5,772.48
TITAGARH,2024-08-20,0.8,1449.6
TITAN,2016-03-22,2.2,346.97
TITAN,2017-07-24,2.6,523.2
TITAN,2018-07-23,3.75,838.55
TITAN,2019-07-29,5.0,1058.3
TITAN,2020-08-03,4.0,1060.85
TITAN,2021-07-22,4.0,1679.71
TITAN,2022-07-08,7.5,2124.06
TITAN,2023-07-13,10.0,3065.46
TITAN,2024-06-27,11.0,3370.46
TITAN,2025-07-08,11.0,3441.3
TORNTPHARM,2016-02-11,10.0,567.23
TORNTPHARM,2016-03-16,7.5,568.59
TORNTPHARM,2017-02-10,5.0,572.1
TORNTPHARM,2017-06-19,2.0,550.84
TORNTPHARM,2018-02-15,4.5,655.6
TORNTPHARM,2018-06-18,2.5,686.99
TORNTPHARM,2019-02-06,6.5,838.58
TORNTPHARM,2019-06-13,2.0,718.33
TORNTPHARM,2020-03-18,8.5,855.92
TORNTPHARM,2021-02-15,10.0,1238.43
TORNTPHARM,2021-06-17,7.5,1410.92
TORNTPHARM,2022-02-02,12.5,1320.38
TORNTPHARM,2022-06-03,4.0,1344.33
TORNTPHARM,2023-02-03,14.0,1494.99
TORNTPHARM,2023-06-23,8.0,1826.0
TORNTPHARM,2024-02-12,22.0,2588.99
TORNTPHARM,2024-06-21,6.0,2804.0
TORNTPHARM,2025-01-31,26.0,3262.9
TORNTPHARM,2025-06-20,6.0,3167.2
TORNTPOWER,2016-03-17,4.5,200.01
TORNTPOWER,2017-06-08,2.2,160.44
TORNTPOWER,2018-06-08,5.0,220.79
TORNTPOWER,2019-06-13,5.0,221.19
TORNTPOWER,2020-02-18,11.6,280.95
TORNTPOWER,2021-02-16,5.5,318.37
TORNTPOWER,2021-06-24,5.5,417.87
TORNTPOWER,2022-02-10,9.0,481.19
TORNTPOWER,2023-02-22,9.0,479.74
TORNTPOWER,2023-06-16,4.0,653.12
TORNTPOWER,2024-02-16,12.0,1153.68
TORNTPOWER,2024-06-14,4.0,1576.04
TORNTPOWER,2025-02-12,14.0,1264.3
TORNTPOWER,2025-06-06,5.0,1408.0
TRENT,2016-03-17,0.9,143.45
TRENT,2017-07-19,1.0,252.09
TRENT,2018-07-27,1.15,347.64
TRENT,2019-07-19,1.3,437.07
TRENT,2020-07-24,1.0,574.39
TRENT,2021-07-09,0.6,901.09
TRENT,2022-02-22,0.6,1045.27
TRENT,2022-05-20,1.1,1083.67
TRENT,2023-05-25,2.2,1512.9
TRENT,2024-05-22,3.2,4642.93
TRENT,2025-06-12,5.0,5627.5
TRIDENT,2015-11-02,0.03,3.44
TRIDENT,2016-05-26,0.03,4.1
TRIDENT,2016-08-18,0.06,3.76
TRIDENT,2017-01-25,0.06,5.4
TRIDENT,2017-05-25,0.03,6.47
TRIDENT,2017-08-23,0.06,7.11
TRIDENT,2018-02-05,0.06,5.96
TRIDENT,2018-05-24,0.03,4.59
TRIDENT,2018-08-14,0.06,4.97
TRIDENT,2018-10-23,0.06,5.41
TRIDENT,2019-01-24,0.12,5.74
TRIDENT,2019-05-29,0.06,5.97
TRIDENT,2019-08-08,0.09,5.03
TRIDENT,2019-11-07,0.09,5.79
TRIDENT,2020-02-27,0.18,5.37
TRIDENT,2021-05-25,0.36,15.72
TRIDENT,2021-10-28,0.36,35.98
TRIDENT,2022-08-18,0.36,36.76
TRIDENT,2023-06-01,0.36,31.41
TRIDENT,2024-05-28,0.36,36.74
TRIDENT,2025-05-27,0.5,32.71
TRITURBINE,2015-11-19,0.4,106.56
TRITURBINE,2016-03-22,0.7,95.53
TRITURBINE,2016-08-18,0.45,122.51
TRITURBINE,2017-08-03,0.75,134.55
TRITURBINE,2017-11-20,0.45,131.47
TRITURBINE,2018-09-05,0.55,117.28
TRITURBINE,2019-11-14,0.5,96.55
TRITURBINE,2021-09-07,1.2,136.67
TRITURBINE,2021-11-08,0.4,199.81
TRITURBINE,2022-08-11,0.85,192.0
TRITURBINE,2024-02-16,1.3,458.47
TRITURBINE,2024-09-06,1.3,743.32
TRITURBINE,2025-02-06,2.0,568.8
TRIVENI,2017-08-22,0.25,82.84
TRIVENI,2019-02-25,0.7,52.67
TRIVENI,2020-02-18,1.1,75.33
TRIVENI,2021-09-08,1.75,163.36
TRIVENI,2021-11-09,1.25,195.36
TRIVENI,2022-08-12,2.0,219.41
TRIVENI,2023-09-01,3.25,312.39
TRIVENI,2024-02-09,2.25,347.63
TRIVENI,2024-09-06,1.25,462.3
TVSMOTOR,2016-02-04,1.0,265.65
TVSMOTOR,2016-03-17,1.5,269.82
TVSMOTOR,2016-11-03,1.25,374.27
TVSMOTOR,2017-03-14,1.25,417.83
TVSMOTOR,2017-11-08,2.0,665.3
TVSMOTOR,2018-03-06,1.3,619.23
TVSMOTOR,2018-10-30,2.1,520.55
TVSMOTOR,2019-03-18,1.4,474.39
TVSMOTOR,2020-02-11,2.1,438.29
TVSMOTOR,2020-03-17,1.4,375.68
TVSMOTOR,2021-02-04,2.1,638.97
TVSMOTOR,2021-03-30,1.4,564.27
TVSMOTOR,2022-03-25,3.75,595.21
TVSMOTOR,2023-02-02,5.0,993.98
TVSMOTOR,2024-03-19,8.0,2033.37
TVSMOTOR,2025-03-26,10.0,2429.2
UBL,2015-09-14,1.0,830.3
UBL,2016-08-30,1.15,805.2
UBL,2017-09-14,1.15,762.61
UBL,2018-09-07,2.0,1303.88
UBL,2019-08-13,2.5,1328.21
UBL,2020-08-18,2.5,982.52
UBL,2021-07-01,0.5,1406.97
UBL,2022-08-02,10.5,1583.99
UBL,2023-08-03,7.5,1539.92
UBL,2024-07-25,10.0,2098.44
UBL,2025-07-31,10.0,1945.6
UCOBANK,2024-05-10,0.28,52.27
UCOBANK,2025-05-09,0.39,29.65
ULTRACEMCO,2015-08-14,9.0,2979.18
ULTRACEMCO,2016-07-04,9.5,3281.27
ULTRACEMCO,2017-07-10,10.0,3989.78
ULTRACEMCO,2018-07-10,10.5,3830.91
ULTRACEMCO,2019-07-10,11.5,4345.97
ULTRACEMCO,2020-07-29,13.0,4068.01
ULTRACEMCO,2021-08-02,37.0,7471.91
ULTRACEMCO,2022-08-02,38.0,6540.55
ULTRACEMCO,2023-07-27,38.0,8187.49
ULTRACEMCO,2024-07-30,70.0,11732.08
ULTRACEMCO,2025-07-25,77.5,12250.0
UNIONBANK,2016-06-17,1.95,109.64
UNIONBANK,2022-06-22,1.9,31.72
UNIONBANK,2023-07-28,3.0,84.86
UNIONBANK,2024-07-19,3.6,131.21
UNIONBANK,2025-07-25,4.75,136.22
UNITDSPR,2024-07-12,5.0,1278.38
UNITDSPR,2025-04-03,4.0,1421.61
UNITDSPR,2025-08-01,8.0,1322.4
UNOMINDA,2016-02-11,0.1,25.21
UNOMINDA,2016-08-03,0.13,37.68
UNOMINDA,2017-02-16,0.2,61.2
UNOMINDA,2017-08-21,0.17,125.33
UNOMINDA,2018-02-22,0.2,175.12
UNOMINDA,2018-07-11,0.8,204.95
UNOMINDA,2019-02-15,0.22,136.23
UNOMINDA,2019-07-29,0.32,142.55
UNOMINDA,2020-02-17,0.2,184.11
UNOMINDA,2021-02-15,0.18,288.4
UNOMINDA,2021-08-04,0.25,379.41
UNOMINDA,2022-02-16,0.25,492.83
UNOMINDA,2022-07-07,1.0,492.93
UNOMINDA,2023-02-20,0.5,507.47
UNOMINDA,2023-08-31,1.0,599.39
UNOMINDA,2024-02-15,0.65,605.74
UNOMINDA,2024-06-07,1.35,961.23
UNOMINDA,2025-02-12,0.75,989.08
UNOMINDA,2025-05-30,1.5,1006.65
UPL,2016-06-16,3.2,346.3
UPL,2017-06-22,4.48,528.74
UPL,2018-08-09,5.12,396.25
UPL,2019-05-28,5.12,635.75
UPL,2020-08-19,5.76,474.4
UPL,2021-07-14,9.59,787.8
UPL,2022-07-27,9.59,702.76
UPL,2023-08-03,9.59,593.98
UPL,2024-08-12,0.96,559.98
UPL,2025-07-11,6.0,652.8
USHAMART,2022-07-20,2.0,123.32
USHAMART,2023-08-03,2.5,327.46
USHAMART,2024-08-06,2.75,345.49
